,id
6,1447079380207865862
7,1447078268314669058
8,1447078233308950528
9,1447077890042961925
10,1447077705288085512
11,1447077558009225217
12,1447077411405787136
13,1447050910606057476
14,1446965121851473921
15,1446960930798161922
16,1446960636215365632
17,1446959234634104833
18,1446958857205522434
19,1446958172653096962
20,1446935316460363778
21,1446906629773938688
22,1446845743868821508
23,1446822847008153608
24,1446810675188281346
25,1446804046803783681
26,1446802105034022914
27,1446725258308902912
28,1446409517055586304
29,1446361507546214416
30,1446325949683826693
31,1446096827669958662
32,1446087739443593222
33,1446052536163647490
34,1446024107246571522
35,1445584135414706179
36,1445120637400494101
37,1445026927987806210
38,1444973931304296449
39,1444958799253721091
40,1444927053002838018
41,1444902892289159173
42,1444833225705017346
43,1444833119438184449
44,1444759248752283655
45,1444738023938306048
46,1444737952316379136
47,1444737853154603008
48,1444587194275045383
49,1444448598360576005
50,1444302452317200390
51,1444068343124746244
52,1443613003128180736
53,1443611985908744205
54,1443597812197957633
55,1443499003857936384
56,1443369682145140736
57,1443274440347893772
58,1443110624427380738
59,1442641846740549634
60,1442576019970482183
61,1442524142272716805
62,1442522527629131784
63,1442475478829477890
64,1442461077804134400
65,1442385134641164293
66,1442230615412072452
67,1442223373342314499
68,1442180830592479232
69,1442173112775106568
70,1442171338370654209
71,1442132735192023041
72,1442006366848262145
73,1441664922874617857
74,1441664548159692810
75,1441663804505423872
76,1441492313700814848
77,1441310009682321414
78,1440790050027945993
79,1440399074906099721
80,1440396176235196423
81,1440369956793700373
82,1440265233763737601
83,1440074720863342593
84,1440072163323572226
85,1439705668575969284
86,1439676153594273794
87,1439518274530672645
88,1439512030285684737
89,1439464376474296321
90,1439464360531820553
91,1439464003709726722
92,1439463583113379845
93,1439463445649186819
94,1439285739762688006
95,1439256939792412673
96,1439178827159195652
97,1438407833398255622
0,1438363550901174276
1,1438345692070645763
2,1438342260064727043
3,1438342208659369985
4,1438323450473431042
5,1438068783055261701
6,1437941502626471939
7,1437931462918029315
8,1437902614725906435
9,1437893150891298817
10,1437738479635636224
11,1437689235876859914
12,1437341423423016964
13,1437083110009708545
14,1437029422981423104
15,1437024498562347011
16,1437017874296619008
17,1436945631113711627
18,1436945612692344835
19,1436945587526516747
20,1436945092586061829
21,1436944563055173639
22,1436944436076826626
23,1436944245726711808
24,1436913407043588098
25,1436913404195770368
26,1436839650769862666
27,1436836832965189633
28,1436629036126674946
29,1436625212779503616
30,1436625099105476610
31,1436625039336562688
32,1436504937429717002
33,1436365233271017474
34,1436340344329670657
35,1436302384175755267
36,1436272745399083008
37,1436272542805811203
38,1436269773336231938
39,1436268933233979392
40,1436098831742083077
41,1436084163405352960
42,1436070484278333449
43,1435962538357927936
44,1435962382455648256
45,1435938251022520321
46,1435868689266479116
47,1435864914753728513
48,1435725531941638151
49,1435725061864951808
50,1435422581344067601
51,1435155919940333569
52,1435126386272833537
53,1434933189542359042
54,1434645005935726593
55,1434555710969372683
56,1434486431129419781
57,1434318189064822787
58,1434252131851141120
59,1434095701257035778
60,1434014692062609408
61,1433992474930855940
62,1433944724092588038
63,1433456083134291969
64,1433254846283481096
65,1433234553234206720
66,1433188115879907329
67,1433142209008717830
68,1433118218005237763
69,1432952850368323584
70,1432879482591854595
71,1432758174306619394
72,1432321952866308098
73,1432309504029376519
74,1432291945343225856
75,1432156443713708033
